row_id,dtBaseDate,AccountCode,AccountName,Prediction
0,2022-04-01,100000184,みずほファクター株式会社,-562724608
1,2022-04-01,100000407,ユーシーカード株式会社,7483757568
2,2022-04-01,100000542,公立学校共済組合,-1557140992
3,2022-04-01,100007142,東京都国民健康保険団体連合会,3809451264
4,2022-04-01,100650551,神奈川県国民健康保険団体連合会,2517596928
5,2022-04-01,210023724,ヤマトホールディングス株式会社,13430811648
6,2022-04-01,210023725,ヤマト運輸株式会社,-421552672
7,2022-04-01,210037298,東京都後期高齢者医療広域連合,2638708736
8,2022-04-01,210044026,口座振替払口,2112280576
9,2022-04-01,210123354,電力広域的運営推進機関,-1403629568
10,2022-04-01,210124189,千葉県国民健康保険団体連合会,2940247808
11,2022-04-01,300001198,いすゞ自動車株式会社,457179392
12,2022-04-01,300002127,株式会社ＳＵＢＡＲＵ,4763059712
13,2022-04-01,300003336,東京電力ホールディングス株式会社,4438622208
14,2022-04-01,300010758,双日株式会社,-21494917120
15,2022-04-01,300040185,（独）日本高速道路保有・債務返済機構,1476953984
16,2022-04-01,300234591,株式会社オリエントコーポレーション,1680303232
17,2022-04-01,300271063,一般社団法人　全国石油協会,-208150784
18,2022-04-01,300335762,アフラック生命保険株式会社,1779606912
19,2022-04-01,300352535,イオンモール株式会社,2487947776
20,2022-04-01,300382205,東日本旅客鉄道株式会社,3432344064
21,2022-04-01,300559555,株式会社ＮＴＴドコモ,3445110528
22,2022-04-01,301371894,ＬＩＮＥヤフー株式会社,-1948617216
23,2022-04-01,301449770,日本郵便株式会社,854933952
24,2022-04-01,301480383,ＳＢペイメントサービス株式会社,5317170688
25,2022-04-01,301509306,東日本高速道路株式会社,9538466816
26,2022-04-01,301509331,首都高速道路株式会社,2321172992
27,2022-04-01,305402620,ＰａｙＰａｙカード株式会社,5625333760
28,2022-04-01,305407222,株式会社ＪＥＲＡ,-2216686080
29,2022-04-01,305453500,コカ・コーラボトラーズジャパンホールディングス株式会社,2470231552
30,2022-04-01,305477263,ＰａｙＰａｙ株式会社,5013868544
31,2022-04-01,308180539,ＭＰ取りまとめ口,-43342852096
32,2022-04-04,100000184,みずほファクター株式会社,-93306683392
33,2022-04-04,100000407,ユーシーカード株式会社,5907899904
34,2022-04-04,100000542,公立学校共済組合,-478244000
35,2022-04-04,100007142,東京都国民健康保険団体連合会,-226249216
36,2022-04-04,100650551,神奈川県国民健康保険団体連合会,-1353956992
37,2022-04-04,210023724,ヤマトホールディングス株式会社,29190320128
38,2022-04-04,210023725,ヤマト運輸株式会社,-4860738048
39,2022-04-04,210037298,東京都後期高齢者医療広域連合,1063939136
40,2022-04-04,210044026,口座振替払口,219052544
41,2022-04-04,210123354,電力広域的運営推進機関,-52311360
42,2022-04-04,210124189,千葉県国民健康保険団体連合会,1163634944
43,2022-04-04,300001198,いすゞ自動車株式会社,979643520
44,2022-04-04,300002127,株式会社ＳＵＢＡＲＵ,-43520016
45,2022-04-04,300003336,東京電力ホールディングス株式会社,-1107886336
46,2022-04-04,300010758,双日株式会社,-8281385472
47,2022-04-04,300040185,（独）日本高速道路保有・債務返済機構,-10740022272
48,2022-04-04,300234591,株式会社オリエントコーポレーション,-7980572160
49,2022-04-04,300271063,一般社団法人　全国石油協会,1122113920
50,2022-04-04,300335762,アフラック生命保険株式会社,-923521152
51,2022-04-04,300352535,イオンモール株式会社,3111528192
52,2022-04-04,300382205,東日本旅客鉄道株式会社,13263538176
53,2022-04-04,300559555,株式会社ＮＴＴドコモ,976609664
54,2022-04-04,301371894,ＬＩＮＥヤフー株式会社,-637741568
55,2022-04-04,301449770,日本郵便株式会社,1686321024
56,2022-04-04,301480383,ＳＢペイメントサービス株式会社,909323328
57,2022-04-04,301509306,東日本高速道路株式会社,-2267299072
58,2022-04-04,301509331,首都高速道路株式会社,1115243776
59,2022-04-04,305402620,ＰａｙＰａｙカード株式会社,2877194496
60,2022-04-04,305407222,株式会社ＪＥＲＡ,-5603269632
61,2022-04-04,305453500,コカ・コーラボトラーズジャパンホールディングス株式会社,6376781824
62,2022-04-04,305477263,ＰａｙＰａｙ株式会社,-6226114048
63,2022-04-04,308180539,ＭＰ取りまとめ口,-8173070848
64,2022-04-05,100000184,みずほファクター株式会社,17753462784
65,2022-04-05,100000407,ユーシーカード株式会社,11109188608
66,2022-04-05,100000542,公立学校共済組合,14224688128
67,2022-04-05,100007142,東京都国民健康保険団体連合会,-6025291264
68,2022-04-05,100650551,神奈川県国民健康保険団体連合会,1714082432
69,2022-04-05,210023724,ヤマトホールディングス株式会社,-1875470848
70,2022-04-05,210023725,ヤマト運輸株式会社,-12652769280
71,2022-04-05,210037298,東京都後期高齢者医療広域連合,2554308608
72,2022-04-05,210044026,口座振替払口,-359499168
73,2022-04-05,210123354,電力広域的運営推進機関,1264293504
